transaction_id,user_id,age,amount,payment_method,device,state,hour_of_day,transaction_date,is_new_payee,login_attempts,velocity_1h,fraud_probability,risk_score,risk_category,anomaly_flag,is_fraud
TXN1000018,USR8769,62,661.32,Credit Card,Mobile,Uttar Pradesh,4,2024-10-02,0,1,2,0.00021252954305966108,23.07,Low,0,0
TXN1000019,USR4081,56,1749.18,UPI,Tablet,Uttar Pradesh,2,2024-12-27,0,1,2,0.00025580732100547197,23.95,Low,0,0
TXN1000020,USR6830,65,1238.5,IMPS,Mobile,Telangana,17,2025-03-07,0,1,3,0.00012588506374359022,15.0,Low,0,0
TXN1000021,USR8928,46,455.63,UPI,Tablet,Gujarat,17,2024-11-07,0,1,2,8.317568750077058e-05,16.95,Low,0,0
TXN1000022,USR8432,38,8149.84,RTGS,Mobile,Maharashtra,23,2025-02-07,0,1,2,0.0005411846065881775,23.66,Low,0,0
TXN1000023,USR7131,67,265.13,Credit Card,Mobile,Punjab,7,2024-10-21,0,2,4,0.0002802573791960986,16.79,Low,0,0
TXN1000024,USR4988,67,147.42,IMPS,Desktop,Maharashtra,11,2025-03-10,0,2,1,0.00011418192400053663,16.14,Low,0,0
TXN1000025,USR8600,58,50757.02,UPI,ATM,Maharashtra,11,2024-11-27,0,1,1,0.9982123287150203,86.76,Critical,1,1
TXN1000026,USR2682,66,450.41,IMPS,Mobile,Karnataka,23,2024-10-22,0,2,1,0.00024305627805701175,23.8,Low,0,0
TXN1000027,USR6563,29,742.35,IMPS,Mobile,Uttar Pradesh,19,2024-12-28,0,1,2,8.741929323407364e-05,15.84,Low,0,0
TXN1000028,USR1246,28,1266.25,IMPS,Mobile,Gujarat,16,2024-11-18,0,2,1,0.00012592302547915864,15.87,Low,0,0
TXN1000029,USR4644,42,4144.48,Credit Card,Tablet,Gujarat,8,2024-11-28,0,2,3,0.0003386104867618303,17.68,Low,0,0
TXN1000030,USR5332,58,1804.25,RTGS,Mobile,Telangana,8,2025-03-19,0,1,4,0.00020112713564322395,15.45,Low,0,0
TXN1000031,USR2845,65,2224.0,UPI,Mobile,Delhi,13,2024-10-15,0,2,1,0.00014837615132945865,16.63,Low,0,0
TXN1000032,USR8714,66,5748.27,IMPS,Mobile,Telangana,10,2025-03-24,0,2,3,0.00044013132328279953,15.56,Low,0,0
TXN1000033,USR1667,73,5929.22,UPI,Desktop,Telangana,7,2024-11-20,0,2,2,0.0003630864299955561,17.42,Low,0,0
TXN1000034,USR2025,33,3970.94,NEFT,Desktop,Punjab,13,2025-01-16,0,1,3,0.00019872261984317082,15.25,Low,0,0
TXN1000035,USR1904,24,1001.24,RTGS,Mobile,West Bengal,9,2024-11-24,1,1,3,0.0002064591537202908,21.88,Low,0,0
TXN1000036,USR8690,31,2029.57,UPI,Mobile,Rajasthan,9,2024-12-03,0,1,4,0.00021027635983726143,15.39,Low,0,0
TXN1000037,USR9655,60,1638.24,RTGS,Mobile,Punjab,9,2025-02-08,0,1,1,7.805335525650319e-05,15.4,Low,0,0
TXN1000038,USR8226,71,55865.85,IMPS,Mobile,West Bengal,9,2024-11-20,0,1,7,0.9998425221053897,86.69,Critical,1,1
TXN1000039,USR9146,38,1283.67,Debit Card,Desktop,Tamil Nadu,9,2025-02-12,0,1,4,0.00018794656976714745,15.43,Low,0,0
TXN1000040,USR2074,21,2015.55,Debit Card,Mobile,Maharashtra,12,2024-10-21,1,2,3,0.00040062189399589726,21.45,Low,0,0
TXN1000041,USR3233,70,2527.99,RTGS,Mobile,Delhi,8,2024-12-12,0,1,1,8.757146655735969e-05,16.72,Low,0,0
TXN1000042,USR5483,43,50179.04,UPI,Mobile,Maharashtra,22,2025-03-16,0,3,7,0.9999518378832376,92.32,Critical,1,1
TXN1000043,USR6241,60,691.49,RTGS,Desktop,Uttar Pradesh,15,2024-10-18,0,1,4,0.0001707755492283078,16.08,Low,0,0
TXN1000044,USR5016,63,6573.81,Credit Card,Mobile,Uttar Pradesh,10,2025-02-09,0,2,4,0.000654497607174726,17.31,Low,0,0
TXN1000045,USR2446,68,4157.13,UPI,Mobile,Telangana,17,2024-12-28,0,2,3,0.00034876421427401666,16.08,Low,0,0
TXN1000046,USR9663,27,1115.83,NEFT,Mobile,Delhi,12,2024-11-29,0,2,2,0.0001734488966317049,15.47,Low,0,0
TXN1000047,USR4041,30,269.07,UPI,Tablet,West Bengal,16,2024-10-14,0,2,3,0.000204291620967987,17.78,Low,0,0
TXN1000048,USR9123,47,1112.64,NEFT,Mobile,Telangana,10,2024-10-09,0,1,1,7.226010034060036e-05,15.28,Low,0,0
TXN1000049,USR4012,51,2309.78,UPI,Mobile,Gujarat,13,2024-12-29,0,2,1,0.00015148398466297816,16.05,Low,0,0
TXN1000050,USR7343,50,891.85,IMPS,Mobile,Rajasthan,14,2024-11-22,1,2,3,0.0003392505159712073,20.75,Low,0,0
TXN1000051,USR3888,18,924.13,RTGS,Mobile,Punjab,13,2025-02-07,0,1,4,0.00017478260383164187,15.6,Low,0,0
TXN1000052,USR6873,50,976.53,UPI,Desktop,Rajasthan,14,2024-12-23,0,1,3,0.0001333465337380621,15.49,Low,0,0
TXN1000053,USR5262,38,421.82,IMPS,Tablet,Telangana,12,2024-12-31,0,1,1,6.219221701417791e-05,16.77,Low,0,0
TXN1000054,USR2756,59,54469.17,Credit Card,Mobile,Uttar Pradesh,23,2025-01-19,0,4,3,0.9999467656352338,92.8,Critical,1,1
TXN1000055,USR1734,25,1800.46,Debit Card,Mobile,Maharashtra,12,2025-03-21,0,2,2,0.00018750823816176033,15.23,Low,0,0
TXN1000056,USR4872,54,3546.73,Debit Card,Tablet,West Bengal,1,2024-10-08,1,1,2,0.00048254478893370456,30.7,Medium,0,0
TXN1000057,USR1544,73,297.56,NEFT,Mobile,Tamil Nadu,22,2025-03-24,0,1,3,0.00024765886133017336,23.15,Low,0,0
TXN1000058,USR6397,38,2544.93,UPI,Desktop,Maharashtra,15,2024-11-04,0,1,4,0.00022250675288066276,15.71,Low,0,0
TXN1000059,USR9118,29,3581.67,Debit Card,Desktop,Karnataka,14,2024-12-20,1,1,3,0.00027930165671429343,21.82,Low,0,0
TXN1000060,USR5775,22,1037.79,RTGS,Mobile,Telangana,8,2025-03-13,0,1,2,0.00010058624933948279,15.59,Low,0,0
TXN1000061,USR8205,64,3863.02,UPI,Mobile,Telangana,16,2024-11-19,0,1,4,0.00025391572650558346,15.99,Low,0,0
TXN1000062,USR1656,33,662.82,Debit Card,ATM,Uttar Pradesh,12,2025-01-12,0,2,1,0.00012805827932642943,17.3,Low,0,0
TXN1000063,USR6559,39,2715.09,IMPS,Mobile,Karnataka,10,2025-02-09,1,1,3,0.0002478127967791438,20.98,Low,0,0
TXN1000064,USR8364,20,1948.76,Credit Card,Tablet,Rajasthan,10,2024-10-02,0,1,1,7.630872710398398e-05,17.86,Low,0,0
TXN1000065,USR5648,33,50120.87,NEFT,Mobile,Telangana,4,2025-02-11,0,1,7,0.9998593319658388,90.98,Critical,0,1
TXN1000066,USR9055,49,1421.45,NEFT,Mobile,Gujarat,15,2024-11-23,0,2,3,0.00023768810015764797,14.92,Low,0,0
TXN1000067,USR7184,48,521.08,RTGS,Tablet,Rajasthan,4,2025-01-14,0,1,1,0.0001555348794525619,23.28,Low,0,0
TXN1000068,USR9457,33,984.82,Debit Card,Mobile,West Bengal,9,2024-10-04,0,2,4,0.00031675461588747853,16.06,Low,0,0
TXN1000069,USR1768,30,2867.12,RTGS,Mobile,Tamil Nadu,22,2024-11-23,0,2,3,0.000654698025627354,22.86,Low,0,0
TXN1000070,USR2831,66,3022.81,UPI,Desktop,Uttar Pradesh,16,2025-02-23,0,1,4,0.00023487209349252905,16.59,Low,0,0
TXN1000071,USR5185,62,371.28,IMPS,Mobile,Maharashtra,12,2024-11-13,0,2,3,0.00020748278632564304,14.91,Low,0,0
TXN1000072,USR5782,36,2473.76,Credit Card,Desktop,Delhi,17,2025-03-11,0,1,1,8.23216155101573e-05,17.33,Low,0,0
TXN1000073,USR1623,27,1249.56,Debit Card,Mobile,Gujarat,9,2024-10-14,1,1,1,0.0001106377024620174,21.99,Low,0,0
TXN1000074,USR9095,57,1715.13,Credit Card,Desktop,Karnataka,21,2025-01-03,0,2,3,0.0002373046960257646,16.72,Low,0,0
TXN1000075,USR6955,25,5526.49,RTGS,Mobile,Punjab,13,2024-11-17,0,1,2,0.00017771140034424353,15.58,Low,0,0
TXN1000076,USR6901,25,1553.18,IMPS,Mobile,Punjab,16,2024-10-15,1,1,4,0.00027788856706495815,21.22,Low,0,0
TXN1000077,USR1419,19,1276.69,UPI,Mobile,Tamil Nadu,1,2024-11-09,0,2,2,0.00045787998333480324,23.21,Low,0,0
TXN1000078,USR6189,35,2859.63,NEFT,Mobile,West Bengal,9,2024-12-21,0,1,4,0.00023163195490779722,15.83,Low,0,0
TXN1000079,USR9494,39,8200.15,Credit Card,Mobile,Gujarat,13,2025-01-19,0,2,1,0.0003214584939404487,17.33,Low,0,0
TXN1000080,USR7818,24,152.16,Debit Card,Mobile,Karnataka,10,2024-11-22,0,2,1,0.00011198638803348172,16.16,Low,0,0
TXN1000081,USR2234,40,776.03,Credit Card,ATM,Telangana,9,2024-10-24,0,1,1,7.24087563328512e-05,17.88,Low,0,0
TXN1000082,USR9168,69,1220.34,RTGS,Mobile,Gujarat,15,2025-03-03,0,2,3,0.0002315206879647262,15.77,Low,0,0
TXN1000083,USR3793,58,177.11,Debit Card,Mobile,Telangana,4,2025-02-01,0,2,4,0.0006653533701353738,22.41,Low,0,0
TXN1000084,USR5080,74,693.99,RTGS,Mobile,Maharashtra,0,2024-11-10,0,1,1,0.0001667518478231319,23.46,Low,0,0
TXN1000085,USR3015,60,2058.32,NEFT,Mobile,Rajasthan,15,2025-03-06,1,2,1,0.00021663307030245414,21.43,Low,0,0
TXN1000086,USR9216,61,5406.64,IMPS,Mobile,Tamil Nadu,6,2024-10-15,0,1,3,0.00023966309441432197,15.91,Low,0,0
TXN1000087,USR2741,34,565.05,UPI,Desktop,Punjab,20,2024-11-14,1,1,2,0.00013737643675067348,22.32,Low,0,0
TXN1000088,USR4215,71,3796.11,NEFT,Mobile,Tamil Nadu,8,2024-12-04,0,2,1,0.0001877644818780694,15.97,Low,0,0
TXN1000089,USR1233,54,3722.53,Debit Card,Desktop,Rajasthan,13,2024-12-28,0,2,2,0.00024802184336238775,15.35,Low,0,0
TXN1000090,USR7507,49,54934.35,NEFT,Mobile,Tamil Nadu,3,2024-12-10,0,2,8,0.9999700091111755,90.58,Critical,0,1
TXN1000091,USR6229,34,2865.86,Debit Card,Desktop,Tamil Nadu,10,2024-10-09,0,1,4,0.00023199204718638285,15.51,Low,0,0
TXN1000092,USR2115,41,2846.13,RTGS,Mobile,Gujarat,3,2024-12-27,1,1,3,0.0006217020246621274,29.44,Low,0,0
TXN1000093,USR9090,66,1414.8,RTGS,Mobile,Gujarat,13,2025-02-06,0,1,1,7.298170046932492e-05,16.0,Low,0,0
TXN1000094,USR8145,52,1118.68,UPI,Mobile,Rajasthan,11,2025-02-13,1,1,4,0.0002771582698838934,21.36,Low,0,0
TXN1000095,USR7747,72,51852.13,RTGS,Desktop,Delhi,3,2024-12-02,0,1,1,0.9993279254442298,92.19,Critical,1,1
TXN1000096,USR7539,60,2382.52,Credit Card,Mobile,Delhi,4,2025-02-16,0,1,1,0.0001954180111063231,23.84,Low,0,0
TXN1000097,USR6261,37,2080.65,IMPS,Desktop,West Bengal,3,2024-12-20,0,1,3,0.00037800414530941964,22.9,Low,0,0
TXN1000098,USR9655,32,965.81,NEFT,Desktop,Uttar Pradesh,23,2025-02-13,0,1,4,0.00038740629930340256,23.41,Low,0,0
TXN1000099,USR2426,72,2061.36,Debit Card,Mobile,Delhi,16,2025-03-12,0,1,3,0.0001377795408504425,16.25,Low,0,0
TXN1000100,USR5190,19,61210.94,IMPS,ATM,Punjab,7,2025-03-12,1,4,13,0.9999987585189204,94.21,Critical,1,1
TXN1000101,USR5150,61,8124.27,Debit Card,Desktop,Punjab,20,2024-11-02,1,1,3,0.0004913447489146567,22.56,Low,0,0
TXN1000102,USR8942,60,700.09,Debit Card,Mobile,Uttar Pradesh,0,2025-01-31,1,2,1,0.0004526462807796939,30.19,Medium,0,0
TXN1000103,USR7554,44,547.14,IMPS,Mobile,Delhi,7,2024-10-05,0,2,1,0.00012030707891475594,16.16,Low,0,0
TXN1000104,USR9104,28,2422.25,NEFT,Mobile,Delhi,20,2024-11-10,0,1,2,0.00010865809067998047,16.53,Low,0,0
TXN1000105,USR9464,46,2647.85,NEFT,Mobile,Rajasthan,15,2024-10-28,0,2,4,0.0003840431616822613,14.99,Low,0,0
TXN1000106,USR5867,74,2465.14,UPI,Desktop,Delhi,1,2025-02-12,0,2,3,0.0007258541229108474,24.44,Low,0,0
TXN1000107,USR6353,61,3351.78,NEFT,Mobile,Tamil Nadu,9,2024-12-11,0,1,4,0.0002430040234684999,15.26,Low,0,0
TXN1000108,USR8238,25,580.5,Credit Card,Mobile,Karnataka,0,2024-10-12,0,1,1,0.0001606240413287868,24.02,Low,0,0
TXN1000109,USR3970,41,3907.67,IMPS,Mobile,Maharashtra,17,2025-03-11,0,2,2,0.00024207420499002149,15.08,Low,0,0
TXN1000110,USR6154,64,1299.26,UPI,Tablet,Gujarat,3,2024-11-02,0,1,1,0.00017327294671445016,24.41,Low,0,0
TXN1000111,USR6957,18,2462.92,IMPS,Desktop,Gujarat,17,2024-11-17,0,1,4,0.00021113823524342536,16.45,Low,0,0
TXN1000112,USR7071,54,6038.34,UPI,Mobile,Rajasthan,6,2025-02-28,0,1,4,0.0003663223699387497,16.68,Low,0,0
TXN1000113,USR6756,43,1243.95,UPI,Mobile,Karnataka,11,2024-12-01,1,2,3,0.0003748176282743579,21.34,Low,0,0
TXN1000114,USR6745,26,6150.02,IMPS,Tablet,Tamil Nadu,10,2024-11-06,0,1,3,0.0002533818804309133,17.02,Low,0,0
TXN1000115,USR4148,39,206.9,IMPS,Desktop,Gujarat,19,2025-01-07,0,2,1,0.00011000582946705827,16.46,Low,0,0
TXN1000116,USR4818,18,1152.64,NEFT,ATM,Uttar Pradesh,16,2025-03-21,0,2,4,0.00034078061822472353,17.65,Low,0,0
TXN1000117,USR3865,19,542.65,Credit Card,Mobile,Gujarat,12,2025-01-12,1,1,2,0.00013234271791661749,22.6,Low,0,0
TXN1000118,USR8989,36,758.3,UPI,Desktop,Rajasthan,16,2024-11-04,0,1,3,0.00012856237075496303,15.44,Low,0,0
TXN1000119,USR8032,62,766.19,Debit Card,Mobile,Karnataka,0,2025-01-09,1,2,2,0.0006105077199067185,29.79,Low,0,0
TXN1000120,USR1264,22,1035.55,Debit Card,Mobile,Punjab,15,2025-03-24,1,1,2,0.0001408077749817934,21.2,Low,0,0
TXN1000121,USR6497,22,173.76,Credit Card,Mobile,West Bengal,13,2025-02-08,1,1,1,9.363612333082759e-05,23.2,Low,0,0
TXN1000122,USR5677,65,2330.71,RTGS,Desktop,Telangana,7,2024-10-01,0,1,3,0.00016586691166474985,16.0,Low,0,0
TXN1000123,USR1442,71,5652.93,UPI,Tablet,Karnataka,3,2024-10-05,0,1,3,0.0005740362655552804,24.38,Low,0,0
TXN1000124,USR1562,50,4909.83,RTGS,Mobile,Uttar Pradesh,23,2025-02-19,1,2,1,0.0007114897941047105,30.43,Medium,0,0
TXN1000125,USR5727,29,51266.84,UPI,ATM,Punjab,3,2025-01-11,0,4,6,0.9999747607758845,92.68,Critical,1,1
TXN1000126,USR3775,66,915.96,Debit Card,Mobile,West Bengal,7,2024-10-27,0,2,2,0.0001706159460313468,16.49,Low,0,0
TXN1000127,USR1740,27,63360.87,NEFT,Mobile,Maharashtra,1,2025-02-14,0,2,7,0.9999873507066952,91.64,Critical,1,1
TXN1000128,USR9592,54,482.35,IMPS,Mobile,Delhi,16,2024-10-15,0,2,1,0.00011147780698612678,15.87,Low,0,0
TXN1000129,USR5460,24,4200.18,RTGS,Mobile,Punjab,7,2024-12-29,0,2,3,0.0003778512291440225,15.87,Low,0,0
TXN1000130,USR7999,32,1879.94,Debit Card,Mobile,Telangana,13,2024-11-11,1,1,2,0.0001603297334332694,21.01,Low,0,0
TXN1000131,USR8351,67,431.3,NEFT,Mobile,Gujarat,16,2025-02-01,0,1,1,6.17939321196273e-05,16.02,Low,0,0
TXN1000132,USR4483,40,182.89,IMPS,Desktop,Punjab,11,2025-03-28,0,1,4,0.00016053830292858443,15.39,Low,0,0
TXN1000133,USR2151,74,680.21,Debit Card,Mobile,Punjab,23,2024-12-02,1,1,4,0.0005222963523924272,30.76,Medium,0,0
TXN1000134,USR8494,54,1915.94,IMPS,Mobile,Rajasthan,14,2025-01-04,0,1,1,7.695887210003206e-05,15.1,Low,0,0
TXN1000135,USR3696,34,457.17,Debit Card,Mobile,West Bengal,1,2024-11-21,1,2,3,0.0008096146586387574,29.7,Low,0,0
TXN1000136,USR9953,29,1872.47,NEFT,Mobile,Telangana,18,2025-01-04,1,2,4,0.0005240060299509043,21.76,Low,0,0
TXN1000137,USR9060,29,51049.66,Credit Card,Mobile,Uttar Pradesh,18,2025-02-09,0,2,9,0.9999020517612341,87.18,Critical,1,1
TXN1000138,USR1661,18,649.56,Credit Card,ATM,Delhi,4,2025-02-28,0,2,3,0.0005596271896416968,25.18,Low,0,0
TXN1000139,USR7454,40,159.21,UPI,Desktop,Tamil Nadu,14,2025-02-20,0,2,4,0.00029342129661152113,15.69,Low,0,0
TXN1000140,USR5759,36,1264.03,IMPS,Desktop,West Bengal,2,2025-03-20,0,2,2,0.00045368540523049673,22.94,Low,0,0
TXN1000141,USR5796,67,3349.87,IMPS,ATM,Maharashtra,11,2024-10-29,0,1,2,0.00013742296331026513,16.96,Low,0,0
TXN1000142,USR5825,72,1717.07,Debit Card,Tablet,Gujarat,6,2024-11-05,0,1,2,0.0001006121739183987,17.7,Low,0,0
TXN1000143,USR1255,26,3644.3,UPI,Mobile,Gujarat,1,2024-10-13,0,1,1,0.0002553524524698078,23.84,Low,0,0
TXN1000144,USR6592,41,1600.74,IMPS,Mobile,Telangana,23,2025-03-09,0,2,4,0.0007221296427146686,22.94,Low,0,0
TXN1000145,USR6696,39,3220.01,Debit Card,Mobile,Uttar Pradesh,14,2024-12-10,1,1,2,0.0001908108947876319,21.52,Low,0,0
TXN1000146,USR3470,52,474.49,RTGS,Mobile,West Bengal,8,2024-12-25,0,2,1,0.00012267688012367162,16.4,Low,0,0
TXN1000147,USR2387,30,1452.64,RTGS,ATM,Gujarat,23,2024-10-28,1,1,4,0.0006544830938732843,31.33,Medium,1,0
TXN1000148,USR8063,57,233.42,Debit Card,Mobile,Punjab,14,2024-12-05,1,1,2,0.0001248952864371115,20.93,Low,0,0
TXN1000149,USR7708,54,3673.53,NEFT,Mobile,Gujarat,18,2025-03-19,0,2,3,0.0003155528657789552,15.52,Low,0,0
TXN1000150,USR3815,43,3060.43,RTGS,Desktop,Delhi,16,2024-11-14,0,2,2,0.00022850328062868508,16.04,Low,0,0
TXN1000151,USR2074,53,4869.17,RTGS,ATM,Maharashtra,11,2024-12-01,0,2,3,0.0004250418178696761,16.7,Low,0,0
TXN1000152,USR6837,45,51547.91,Debit Card,Mobile,Tamil Nadu,6,2025-02-11,0,3,5,0.9998427271906515,86.12,Critical,1,1
TXN1000153,USR6037,61,53914.55,Credit Card,Tablet,Maharashtra,2,2024-10-28,1,1,3,0.9998005538894238,98.26,Critical,1,1
TXN1000154,USR8993,74,5900.29,RTGS,Tablet,West Bengal,5,2024-10-28,1,1,3,0.0008963182877611385,31.27,Medium,1,0
TXN1000155,USR2501,70,1621.51,Debit Card,Mobile,Delhi,14,2025-01-16,0,1,4,0.00017838403182844124,16.49,Low,0,0
TXN1000156,USR8098,57,1272.53,Debit Card,Desktop,Gujarat,6,2024-11-13,0,1,3,0.00013873008010971638,16.28,Low,0,0
TXN1000157,USR1023,26,106.05,IMPS,Desktop,Telangana,9,2024-12-23,0,1,1,6.56918356255467e-05,16.51,Low,0,0
TXN1000158,USR4495,57,499.87,Debit Card,ATM,Maharashtra,17,2024-10-30,1,2,4,0.00044946313233493835,23.15,Low,0,0
TXN1000159,USR9498,61,473.0,Credit Card,ATM,Gujarat,10,2024-12-14,0,1,2,9.136638119986305e-05,17.66,Low,0,0
TXN1000160,USR9532,34,54533.96,RTGS,Desktop,West Bengal,22,2025-02-05,1,5,12,0.9999988730326723,99.58,Critical,1,1
TXN1000161,USR4598,37,6343.44,Debit Card,Mobile,Rajasthan,21,2024-12-31,0,2,3,0.0004420067901451872,16.51,Low,0,0
TXN1000162,USR7676,21,145.52,Debit Card,Desktop,Rajasthan,12,2025-02-06,0,1,1,6.387373962267122e-05,16.37,Low,0,0
TXN1000163,USR5412,45,1820.61,Credit Card,Tablet,Tamil Nadu,5,2025-01-29,1,1,4,0.0006719220410292313,30.61,Medium,0,0
TXN1000164,USR8971,57,372.96,Credit Card,Tablet,Rajasthan,18,2024-10-27,0,2,4,0.00025614800627160584,17.38,Low,0,0
TXN1000165,USR8147,38,290.9,NEFT,Desktop,Rajasthan,15,2025-01-29,1,1,4,0.0002457556647657765,21.3,Low,0,0
TXN1000166,USR8210,60,2235.08,Debit Card,ATM,Telangana,19,2025-01-24,0,1,1,8.25037254396722e-05,17.55,Low,0,0
TXN1000167,USR7125,19,1273.93,RTGS,ATM,Gujarat,6,2024-10-03,0,2,4,0.0003700578230977527,18.38,Low,0,0
TXN1000168,USR8496,36,227.04,IMPS,Mobile,Maharashtra,9,2025-01-11,1,1,3,0.00017844750111892902,20.85,Low,0,0
TXN1000169,USR1722,20,3294.45,IMPS,Mobile,Tamil Nadu,13,2025-03-04,0,1,3,0.00017481288467763236,15.59,Low,0,0
TXN1000170,USR6493,34,63122.02,UPI,Desktop,Punjab,0,2025-02-14,0,2,7,0.9999877326832343,92.35,Critical,1,1
TXN1000171,USR5200,39,4330.5,UPI,Mobile,Uttar Pradesh,12,2024-12-01,0,1,1,0.00011363790488880702,16.28,Low,0,0
TXN1000172,USR7170,25,324.3,Debit Card,Mobile,Telangana,8,2025-03-14,0,2,3,0.0002152582746349065,15.61,Low,0,0
TXN1000173,USR1095,51,8647.06,Debit Card,Mobile,Punjab,14,2024-11-20,0,1,2,0.00025765943952018786,15.93,Low,0,0
TXN1000174,USR5077,62,600.76,RTGS,Tablet,Delhi,1,2025-03-21,1,1,3,0.00044258294504837914,30.9,Medium,0,0
TXN1000175,USR6132,49,986.79,UPI,Mobile,Karnataka,11,2025-03-01,0,2,3,0.00023599292485062886,15.25,Low,0,0
TXN1000176,USR2906,61,1147.62,NEFT,Mobile,Karnataka,15,2024-11-28,0,1,4,0.0001712840806416552,15.37,Low,0,0
TXN1000177,USR7849,62,555.15,RTGS,ATM,Delhi,5,2025-01-26,0,2,3,0.0005611445731900473,24.34,Low,0,0
TXN1000178,USR8254,32,1736.7,NEFT,Tablet,Punjab,16,2025-03-09,0,2,3,0.00024130629604687988,16.11,Low,0,0
TXN1000179,USR6604,27,223.91,IMPS,ATM,Maharashtra,10,2025-01-04,0,2,3,0.00022528311224220864,16.79,Low,0,0
TXN1000180,USR3400,51,281.91,IMPS,Mobile,Maharashtra,8,2025-03-29,0,1,4,0.00015914391220852924,15.42,Low,0,0
TXN1000181,USR7855,61,1961.59,IMPS,Mobile,Maharashtra,22,2025-01-21,1,2,2,0.0006253399804204417,29.58,Low,0,0
TXN1000182,USR2626,54,641.66,Credit Card,Mobile,West Bengal,9,2024-12-01,0,2,4,0.00029579956307137476,16.81,Low,0,0
TXN1000183,USR4046,36,3678.7,UPI,Mobile,Telangana,16,2024-11-21,1,2,1,0.00027875254554725744,22.12,Low,0,0
TXN1000184,USR4275,47,2513.01,IMPS,Desktop,Uttar Pradesh,16,2024-10-12,0,2,4,0.00038578207255651195,15.97,Low,0,0
TXN1000185,USR4527,27,1205.65,IMPS,Mobile,Rajasthan,5,2024-11-08,0,2,1,0.00031308599314196884,22.45,Low,0,0
TXN1000186,USR3582,52,1210.65,Credit Card,Mobile,Karnataka,9,2025-02-07,1,2,4,0.0004823650377541333,22.15,Low,0,0
TXN1000187,USR6633,74,2959.75,IMPS,Mobile,Gujarat,12,2025-02-08,1,2,3,0.0004467788798629964,21.9,Low,0,0
TXN1000188,USR6423,42,579.98,Credit Card,Desktop,Uttar Pradesh,11,2025-01-21,0,1,2,9.098056478413637e-05,16.1,Low,0,0
TXN1000189,USR9080,26,50133.25,Debit Card,Tablet,Gujarat,2,2025-01-09,0,5,10,0.9999943694033944,93.29,Critical,1,1
TXN1000190,USR2245,59,753.03,IMPS,Mobile,Telangana,16,2025-01-21,0,1,3,0.00011900915604095221,14.85,Low,0,0
TXN1000191,USR4810,70,1469.64,NEFT,Tablet,Maharashtra,16,2024-12-20,0,2,4,0.0003085453314189081,17.04,Low,0,0
TXN1000192,USR4281,37,881.61,UPI,Mobile,Delhi,0,2025-01-21,0,2,4,0.0007845030110229183,23.96,Low,0,0
